Year,TFP,TotHrGrowth
1951-01-01,6.894656798633167,1.037311312141176
1952-01-01,5.080555180360789,0.6345021068605794
1953-01-01,4.542222509353013,1.4546236059700401
1954-01-01,3.185142198516777,1.8066369114717373
1955-01-01,5.412596813748898,2.032251597424173
1956-01-01,3.0715055403548637,0.9158703799284851
1957-01-01,2.2104977130436874,0.7397380893199523
1958-01-01,1.9844252455346907,-0.3310989253216934
1959-01-01,4.181742982973822,-0.057676343431001253
1960-01-01,4.369251035514679,0.030993886645025448
1961-01-01,1.2080035048336282,-0.17140927118506344
1962-01-01,2.527689450927883,-1.4970849382736295
1963-01-01,1.527402418778098,-1.3767146912867068
1964-01-01,3.010011160074457,0.6552450733910309
1965-01-01,2.5357834245508,-0.19534816519104492
1966-01-01,2.0287155069789202,-1.4652225247325235
1967-01-01,1.8530317159007104,-4.144952879289399
1968-01-01,3.888660139341782,-0.5622176219986064
1969-01-01,4.10243922465966,0.27633505987527673
1970-01-01,2.789624884735392,0.2378071280534355
1971-01-01,1.9714420089797648,-1.237994112892038
1972-01-01,2.885468403686096,-0.9488039536778459
1973-01-01,3.4089223222726046,-0.6858219680455968
1974-01-01,1.4139983959512525,-2.4763832070886727
1975-01-01,1.2782818845100072,-3.970192154276553
1976-01-01,3.093846364651958,0.5174929659142125
1977-01-01,1.787159246174961,-0.7560164444819995
1978-01-01,1.147077171554247,-0.2674752752477194
1979-01-01,1.4221866674325574,0.7672385466689358
1980-01-01,-0.7005869395842419,0.19381536464126992
1981-01-01,-0.07733415522808915,-1.118393799339834
1982-01-01,-0.8728792159324603,-1.2912264140172547
1983-01-01,1.6776547440605603,-1.552492161701824
1984-01-01,1.7314986107553616,-0.36150595775363836
1985-01-01,1.300103355501815,-0.6922718032796982
1986-01-01,0.9627679812507659,-0.11060544809824435
1987-01-01,0.6938386621313695,-0.7958865425149231
1988-01-01,1.5822296705827485,0.33530384876059305
1989-01-01,1.9417262680626095,-0.5028099929924701
1990-01-01,-3.209996310434573,-1.7159155891155908
1991-01-01,5.358504029471471,-3.914232504220083
1992-01-01,0.5553717754982636,-0.5957418562585914
1993-01-01,-0.6802169649088502,-2.757837801742846
1994-01-01,1.227360009007048,-0.2489270386266229
1995-01-01,0.665344898608498,-0.18242836244728444
1996-01-01,0.37104063468498416,-1.1155364747668206
1997-01-01,1.0194119152255923,-0.7759101687822456
1998-01-01,-0.9709683575450493,0.8030646493401461
1999-01-01,-0.14731254888918877,0.613625270204321
2000-01-01,1.1197593927027283,0.4227597200083144
2001-01-01,0.7738953658265126,-0.964458247066935
2002-01-01,-0.4786953600888006,-1.2125224299228354
2003-01-01,-1.3191091585227859,-1.5078035446609683
2004-01-01,-0.22563202735793197,0.1718889883616681
2005-01-01,0.7485190399223568,-0.7971972973939034
2006-01-01,1.630612167816233,1.7423423423423623
2007-01-01,0.700518053446261,1.7178174863194506
2008-01-01,-1.1631003449404616,0.893152497519023
2009-01-01,-4.973760754349538,-3.1354616048317463
2010-01-01,2.2278339854389433,1.56770527140897
2011-01-01,1.295886379821374,1.5715713959974176
2012-01-01,-0.34642281406772196,-0.12778669982215218
2013-01-01,-0.05936641142339398,-0.28875248551913923
2014-01-01,0.5919829185639949,1.1583547201220679
2015-01-01,0.42348941351253555,1.0062397147559077
2016-01-01,0.8049691415407194,0.6160582455068564
